,Table 6 -  Number of VAT and/or PAYE based enterprises by Parliamentary Constituency and broad industry group ,,,,,,,,,,,,,,,,,
,"UK, 2018",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Broad Industry Group,,,,,,,,,,,,,,,,,
,"01-03 : Agriculture, forestry & fishing",05-39 : Production,41-43 : Construction,45 : Motor trades,46 : Wholesale,47 : Retail,49-53 : Transport & Storage (inc postal),55-56 : Accommodation & food services,58-63 : Information & communication,64-66 : Finance & insurance,68 : Property,"69-75 : Professional, scientific & technical",77-82 : Business administration & support services,84 : Public administration & defence,85 : Education,86-88 : Health,"90-99 : Arts, entertainment, recreation & other services",Total
K02000001: UNITED KINGDOM,"149,165","150,435","331,560","75,755","102,560","201,915","108,980","153,105","219,150","58,410","96,410","468,165","223,570","7,300","43,960","108,425","170,575","2,669,440"
K03000001: GREAT BRITAIN,"130,895","145,390","321,350","73,190","99,370","196,030","106,595","149,125","217,255","57,255","94,125","462,350","221,010","7,260","43,305","105,665","166,150","2,596,320"
K04000001: ENGLAND AND WALES,"113,520","134,795","301,145","68,585","94,070","182,665","101,100","135,270","206,985","54,130","88,610","430,915","208,370","7,210","41,345","99,120","153,755","2,421,590"
E92000001 : ENGLAND,"99,615","128,355","288,200","64,865","90,855","173,540","97,245","126,685","202,500","52,320","85,830","418,855","200,700","6,735","40,030","94,665","147,065","2,318,060"
,,,,,,,,,,,,,,,,,,
E12000001 : NORTH EAST,"3,955","4,785","8,935","2,395","2,185","5,955","2,510","5,965","3,265","1,090","2,090","11,405","5,250",225,"1,230","3,115","5,035","69,390"
E14000554 : Berwick-upon-Tweed,870,175,395,70,100,280,85,355,95,30,100,350,205,40,25,100,200,"3,475"
E14000569 : Bishop Auckland,640,245,430,115,95,215,165,240,75,30,70,335,180,20,40,100,180,"3,175"
E14000574 : Blaydon,50,210,360,110,125,235,125,200,125,45,60,355,170,0,50,85,175,"2,480"
E14000575 : Blyth Valley,30,185,300,70,70,130,95,155,75,35,35,260,165,5,30,65,135,"1,840"
E14000641 : City of Durham,105,125,335,110,50,195,80,210,100,45,90,350,170,15,50,135,225,"2,390"
E14000658 : Darlington,15,165,300,125,65,235,100,200,115,55,75,390,175,5,50,135,225,"2,430"
E14000677 : Easington,85,120,200,75,55,160,105,165,50,15,45,180,125,15,30,60,125,"1,610"
E14000709 : Gateshead,5,160,325,95,115,265,60,190,150,45,140,345,240,0,50,120,165,"2,470"
E14000733 : Hartlepool,60,195,330,70,55,190,85,200,55,25,55,535,165,5,40,90,150,"2,305"
E14000746 : Hexham,920,175,350,105,110,245,115,290,160,50,140,605,255,30,50,140,215,"3,955"
E14000754 : Houghton and Sunderland South,35,95,240,50,45,175,70,160,75,15,35,200,110,0,30,60,115,"1,510"
E14000765 : Jarrow,15,180,255,55,60,175,70,130,80,30,45,280,160,0,35,65,135,"1,770"
E14000819 : Middlesbrough,5,155,265,90,95,225,75,230,100,40,80,415,195,0,50,125,165,"2,310"
E14000820 : Middlesbrough South and East Cleveland,120,130,290,60,35,145,60,145,65,20,45,545,160,10,45,95,140,"2,110"
E14000831 : Newcastle upon Tyne Central,5,110,235,60,90,340,60,385,260,95,155,560,295,5,65,225,305,"3,250"
E14000832 : Newcastle upon Tyne East,5,110,220,70,80,235,40,250,190,75,160,615,160,5,50,160,210,"2,635"
E14000833 : Newcastle upon Tyne North,35,140,335,55,65,165,65,125,145,30,80,320,185,0,45,115,165,"2,070"
E14000840 : North Durham,50,140,290,90,60,170,120,170,100,35,50,245,140,10,30,80,155,"1,935"
E14000853 : North Tyneside,10,175,365,90,70,220,75,190,165,35,65,330,200,0,35,105,145,"2,275"
E14000856 : North West Durham,370,180,405,100,80,230,135,235,90,30,40,345,200,10,40,90,170,"2,750"
E14000891 : Redcar,20,165,285,90,50,140,95,135,50,15,30,460,160,0,35,80,130,"1,940"
E14000915 : Sedgefield,275,235,295,90,85,185,140,160,100,30,65,385,175,15,55,110,160,"2,560"
E14000944 : South Shields,10,130,250,50,60,180,65,250,75,20,25,275,160,0,35,75,150,"1,810"
E14000970 : Stockton North,50,185,290,90,70,185,90,200,105,50,65,515,195,5,45,120,170,"2,430"
E14000971 : Stockton South,40,200,415,90,95,175,80,145,145,50,80,845,245,5,45,135,180,"2,970"
E14000982 : Sunderland Central,10,170,330,100,85,300,65,310,110,40,70,350,185,0,55,150,220,"2,550"
E14001006 : Tynemouth,35,200,330,90,100,220,50,235,230,45,95,530,210,5,50,150,220,"2,795"
E14001014 : Wansbeck,70,130,275,85,50,180,70,180,95,30,50,275,145,20,40,90,190,"1,975"
E14001020 : Washington and Sunderland West,15,200,240,45,70,160,70,125,85,30,45,210,120,0,30,55,115,"1,615"
,,,,,,,,,,,,,,,,,,
E12000002 : NORTH WEST,"11,720","16,145","30,820","8,185","11,165","25,775","15,560","16,270","15,485","7,185","9,365","43,305","23,760",545,"4,305","11,910","16,265","267,765"
E14000532 : Altrincham and Sale West,45,205,510,70,225,360,75,215,690,205,365,"1,695",795,0,105,350,320,"6,230"
E14000537 : Ashton-under-Lyne,15,235,400,110,135,315,135,195,125,45,65,315,195,0,35,130,170,"2,620"
E14000543 : Barrow and Furness,290,230,425,105,55,235,45,250,95,25,60,570,310,10,45,115,205,"3,070"
E14000559 : Birkenhead,5,165,285,90,90,215,90,170,110,35,80,390,200,0,50,150,180,"2,305"
E14000570 : Blackburn,25,335,295,155,240,460,275,230,130,135,125,390,335,5,60,285,195,"3,675"
E14000571 : Blackley and Broughton,0,170,300,75,610,580,230,200,230,45,330,435,345,0,70,250,185,"4,055"
