PCON_CODE,PCON_NAME,1995_MED_PRICE_ALL_TYPES,1995_MED_PRICE_DETACHED,1995_MED_PRICE_SEMI_DETACHED,1995_MED_PRICE_TERRACED,1995_MED_PRICE_FLATS_MAISONETTES,1996_MED_PRICE_ALL_TYPES,1996_MED_PRICE_DETACHED,1996_MED_PRICE_SEMI_DETACHED,1996_MED_PRICE_TERRACED,1996_MED_PRICE_FLATS_MAISONETTES,1997_MED_PRICE_ALL_TYPES,1997_MED_PRICE_DETACHED,1997_MED_PRICE_SEMI_DETACHED,1997_MED_PRICE_TERRACED,1997_MED_PRICE_FLATS_MAISONETTES,1998_MED_PRICE_ALL_TYPES,1998_MED_PRICE_DETACHED,1998_MED_PRICE_SEMI_DETACHED,1998_MED_PRICE_TERRACED,1998_MED_PRICE_FLATS_MAISONETTES,1999_MED_PRICE_ALL_TYPES,1999_MED_PRICE_DETACHED,1999_MED_PRICE_SEMI_DETACHED,1999_MED_PRICE_TERRACED,1999_MED_PRICE_FLATS_MAISONETTES,2000_MED_PRICE_ALL_TYPES,2000_MED_PRICE_DETACHED,2000_MED_PRICE_SEMI_DETACHED,2000_MED_PRICE_TERRACED,2000_MED_PRICE_FLATS_MAISONETTES,2001_MED_PRICE_ALL_TYPES,2001_MED_PRICE_DETACHED,2001_MED_PRICE_SEMI_DETACHED,2001_MED_PRICE_TERRACED,2001_MED_PRICE_FLATS_MAISONETTES,2002_MED_PRICE_ALL_TYPES,2002_MED_PRICE_DETACHED,2002_MED_PRICE_SEMI_DETACHED,2002_MED_PRICE_TERRACED,2002_MED_PRICE_FLATS_MAISONETTES,2003_MED_PRICE_ALL_TYPES,2003_MED_PRICE_DETACHED,2003_MED_PRICE_SEMI_DETACHED,2003_MED_PRICE_TERRACED,2003_MED_PRICE_FLATS_MAISONETTES,2004_MED_PRICE_ALL_TYPES,2004_MED_PRICE_DETACHED,2004_MED_PRICE_SEMI_DETACHED,2004_MED_PRICE_TERRACED,2004_MED_PRICE_FLATS_MAISONETTES,2005_MED_PRICE_ALL_TYPES,2005_MED_PRICE_DETACHED,2005_MED_PRICE_SEMI_DETACHED,2005_MED_PRICE_TERRACED,2005_MED_PRICE_FLATS_MAISONETTES,2006_MED_PRICE_ALL_TYPES,2006_MED_PRICE_DETACHED,2006_MED_PRICE_SEMI_DETACHED,2006_MED_PRICE_TERRACED,2006_MED_PRICE_FLATS_MAISONETTES,2007_MED_PRICE_ALL_TYPES,2007_MED_PRICE_DETACHED,2007_MED_PRICE_SEMI_DETACHED,2007_MED_PRICE_TERRACED,2007_MED_PRICE_FLATS_MAISONETTES,2008_MED_PRICE_ALL_TYPES,2008_MED_PRICE_DETACHED,2008_MED_PRICE_SEMI_DETACHED,2008_MED_PRICE_TERRACED,2008_MED_PRICE_FLATS_MAISONETTES,2009_MED_PRICE_ALL_TYPES,2009_MED_PRICE_DETACHED,2009_MED_PRICE_SEMI_DETACHED,2009_MED_PRICE_TERRACED,2009_MED_PRICE_FLATS_MAISONETTES,2010_MED_PRICE_ALL_TYPES,2010_MED_PRICE_DETACHED,2010_MED_PRICE_SEMI_DETACHED,2010_MED_PRICE_TERRACED,2010_MED_PRICE_FLATS_MAISONETTES,2011_MED_PRICE_ALL_TYPES,2011_MED_PRICE_DETACHED,2011_MED_PRICE_SEMI_DETACHED,2011_MED_PRICE_TERRACED,2011_MED_PRICE_FLATS_MAISONETTES,2012_MED_PRICE_ALL_TYPES,2012_MED_PRICE_DETACHED,2012_MED_PRICE_SEMI_DETACHED,2012_MED_PRICE_TERRACED,2012_MED_PRICE_FLATS_MAISONETTES,2013_MED_PRICE_ALL_TYPES,2013_MED_PRICE_DETACHED,2013_MED_PRICE_SEMI_DETACHED,2013_MED_PRICE_TERRACED,2013_MED_PRICE_FLATS_MAISONETTES
E14000530,Aldershot,63950,106500,69950,58500,46500,66000,107000,72000,60000,45975,74000,129973,81000,68000,51000,80000,142975,92000,76000,56000,90000,150500,101000,84500,64000,110000,189975,128000,102000,77500,123000,215000,138000,114950,88000,140000,240000,159950,133000,105900,159950,250000,180000,152000,118000,170000,275000,189950,162500,127000,176000,265000,195000,167000,130000,183250,287000,209950,175000,147000,200000,322500,230000,195000,149500,195000,305000,225000,188000,155000,180000,286625,200000,173000,135000,205000,323000,227000,190000,150000,203000,316750,225000,191000,137250,202000,320500,224000,190000,139500,213000,340000,241750,200250,156250
E14000531,Aldridge-Brownhills,58000,85000,55000,47950,38500,59950,84000,55000,46750,42000,62375,89000,57500,48500,47000,67000,92000,60000,50500,39950,69950,98000,61000,53250,51875,75500,110000,68000,57750,52950,85000,129973,76000,64500,56910,108250,159975,91375,79995,92000,129000,183000,115000,96475,103500,135725,211475,130000,115000,116725,144000,217000,141750,125000,128000,157000,245500,145000,128000,136398,159000,244000,150000,140000,132950,159000,244950,150000,127500,120000,150000,220000,140000,126750,99400,150000,242000,138000,135000,102563,152500,223000,146000,133500,110000,149000,215000,147500,130000,100000,155000,227000,143375,124000,104500
E14000532,Altrincham and Sale West,74000,139975,66750,55500,59500,73000,129000,66000,59000,59995,79000,149950,70000,60000,63000,85000,155000,78000,72250,68000,97000,173000,86950,80000,79950,115000,198600,100000,93150,90000,125000,238125,114000,105000,106475,146000,270000,133000,124950,140250,171000,325000,160000,155000,146000,197500,370000,185000,172500,189950,200000,420000,198000,187500,164750,218500,410000,207500,190000,175000,226450,460000,225000,200000,175000,225000,460000,215000,203450,135000,218500,380000,205875,193000,155000,240000,435000,223500,210000,158750,230000,430000,221000,199500,135000,232000,417500,222000,203000,144150,236000,377500,230000,210000,140000
E14000533,Amber Valley,37145,58750,37000,27500,36000,39000,59975,38000,28000,,41500,65725,39500,28000,27950,43000,65500,41350,29000,39500,45500,71750,43950,31950,53950,46000,80000,44500,31500,25750,54950,90600,51500,35000,63500,64950,109000,62500,43975,44800,84000,135000,81000,59950,68000,100000,167995,98000,75000,76950,107000,177500,109950,84950,86450,119500,183000,117500,90000,100000,124950,195000,124950,95000,91000,123000,175000,120250,89113,95000,115000,166000,109500,82500,96000,118000,175000,111000,84950,76750,112250,165000,107500,80000,72500,118000,175000,108250,83750,,120000,165000,110000,90000,59000
E14000534,Arundel and South Downs,81000,120000,72500,59050,50000,85000,130000,72500,63500,46500,95000,145000,82503,68950,49500,110000,162000,91804,81000,58000,125500,188500,112000,87500,66250,155000,229950,129950,109950,73000,166750,245000,145000,122750,92000,195950,278475,166000,149950,108000,226475,305000,200000,171475,115000,244000,340000,220000,185000,145000,249999,359140,228000,190000,151500,262500,375000,239000,200000,153975,285000,412250,260000,234225,168000,277500,415000,250000,240000,172000,250000,365000,237500,200000,145000,279950,395000,249950,224000,161875,285950,400000,250000,215000,153750,300000,409000,268999,224975,164000,299998,430000,273000,237000,167250
E14000535,Ashfield,37000,55550,36500,25725,,36000,55000,35000,25500,23000,39000,59750,36500,25625,19500,41500,64000,38250,27100,,45950,69998,40000,27500,18000,47950,74950,43175,28500,,50000,79950,45000,29000,,59000,98000,54950,35000,21250,75500,127973,72725,49000,75995,93500,149973,89950,65000,78123,97950,154000,97500,73000,82425,106000,151000,101000,77950,59000,112000,158750,109125,82000,95000,105500,154500,105000,80000,69995,102000,145750,99500,66000,77000,105000,155000,95000,69000,60000,104950,145000,92125,71100,75000,104998,146750,90750,76000,75000,105000,145000,95000,77500,70000
E14000536,Ashford,59125,94500,56000,45000,41250,67950,104725,58000,46000,40500,68000,114000,61000,49500,38000,73950,123000,68000,53500,39500,81500,130000,76000,59000,41600,99950,152500,89000,70000,49250,112995,167500,99995,79000,55550,132500,197500,125000,96000,69375,150000,235000,147000,119000,114000,167000,249900,160000,139995,125400,170000,274848,165500,143748,129152,181000,285000,177998,147000,125000,195000,303000,191250,163975,133000,188000,298498,184000,159995,128995,175000,270000,170525,146500,105500,190000,288750,184000,163000,113000,175000,279998,172000,152000,108000,189125,285000,178000,158673,107000,195000,310000,184000,158000,116000
E14000537,Ashton-under-Lyne,38000,78000,44250,31500,36950,36500,76200,43595,30100,34725,39000,80950,46000,31950,36475,37950,82950,44995,30888,36950,39995,90500,50000,31000,30725,42000,99450,52528,33000,33500,43500,102800,54000,34500,40000,48000,120000,60000,37500,40000,60000,148000,78000,50000,62450,81000,180000,95000,69000,72750,96250,201950,120000,83000,113995,108000,202475,122500,88500,120000,112000,215000,125000,96000,120000,110000,191500,125000,95750,108000,100000,175000,112500,84000,100000,95000,181500,114950,81750,78176,97500,177000,110000,79750,60000,90000,180000,107500,75000,65000,94750,175000,115000,77000,74750
E14000538,Aylesbury,65000,129950,69000,52000,40000,65000,130000,69500,53950,43250,69950,144950,74500,59500,42000,80326,160000,89950,68225,45850,89950,178748,95000,75000,54000,104000,199250,114000,89995,64500,112500,220000,124000,97000,75000,136500,259000,147950,124950,92000,155000,285000,172000,139950,110000,168000,297000,180000,146000,123000,174950,312000,186500,155000,128500,178000,335000,194975,162000,133702,196600,390000,224475,182000,149950,195000,373995,215000,175000,154975,185000,332500,200000,162000,127500,209475,375000,214975,167000,134804,215000,375000,228500,170000,130000,213000,370000,227000,174950,130000,219950,360000,230000,179950,130071
E14000539,Banbury,59000,92000,55000,49475,33500,60000,98000,55998,48000,32998,65000,110500,64000,54500,38500,70000,129000,70000,60000,42000,85995,143995,80000,68000,49995,102500,167250,95000,85500,63500,114950,176500,107500,94000,72225,135000,210000,129950,115500,88000,155000,243500,151000,131000,96975,168000,250000,165000,140000,109000,170000,260000,170000,149950,130000,180500,280000,181000,160000,140000,190000,300000,193000,176000,145000,189975,290000,186500,172000,136585,178000,273000,172000,160000,129950,197500,313250,190000,170000,122975,195000,308000,185000,166000,125000,200000,300000,194500,168300,118500,210000,315000,205000,182000,128000
