Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table SAPE20DT7: Mid-2017 Population Estimates for Parliamentary Constituencies in England and Wales by Single Year of Age and Sex, Persons - Experimental Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCON11CD,PCON11NM,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
E14000530,Aldershot,"106,193","1,362","1,498","1,492","1,412","1,441","1,429","1,348","1,376","1,284","1,295","1,231","1,268","1,249","1,145","1,026","1,092","1,125","1,193","1,215",983,"1,076","1,122","1,331","1,337","1,365","1,433","1,499","1,649","1,616","1,681","1,773","1,618","1,611","1,591","1,598","1,583","1,669","1,598","1,616","1,432","1,443","1,564","1,579","1,612","1,590","1,545","1,573","1,492","1,603","1,583","1,548","1,632","1,612","1,521","1,514","1,416","1,386","1,252","1,209","1,127","1,133","1,020",976,956,953,863,954,867,936,"1,010","1,097",773,818,788,758,627,617,566,567,531,537,411,404,379,288,280,241,250,229,184,717
E14000531,Aldridge-Brownhills,"77,532",786,780,837,826,809,836,883,842,911,860,862,876,843,839,811,816,858,907,891,733,731,746,772,834,840,875,882,896,843,904,809,805,876,800,889,835,807,855,834,728,735,814,875,914,967,"1,163","1,141","1,166","1,177","1,212","1,212","1,262","1,203","1,208","1,203","1,205","1,129","1,038",990,"1,024",995,902,844,848,815,810,832,891,990,985,"1,087",922,919,964,865,833,720,691,760,761,667,568,506,453,442,422,376,350,256,224,829
E14000532,Altrincham and Sale West,"101,457","1,065","1,264","1,193","1,303","1,304","1,433","1,444","1,425","1,489","1,483","1,428","1,484","1,451","1,338","1,391","1,296","1,193","1,228","1,201",771,629,640,848,897,854,950,993,923,954,"1,036","1,010","1,106","1,204","1,271","1,221","1,351","1,501","1,377","1,481","1,432","1,389","1,420","1,545","1,489","1,520","1,708","1,594","1,576","1,568","1,574","1,456","1,507","1,533","1,514","1,516","1,439","1,283","1,248","1,221","1,253","1,106","1,086","1,088","1,044",953,952,"1,006","1,055","1,031","1,108","1,107",917,916,951,835,722,648,706,721,683,611,565,515,506,428,441,399,393,335,286,"1,128"
E14000533,Amber Valley,"90,132",938,914,921,920,"1,033",993,"1,010","1,051",892,996,992,976,906,920,909,940,886,968,997,835,855,894,931,"1,039","1,112","1,136","1,145","1,051","1,061","1,037","1,041","1,017","1,083",991,"1,068","1,067","1,068","1,161","1,037",906,982,"1,027","1,082","1,147","1,192","1,389","1,362","1,352","1,456","1,383","1,445","1,356","1,434","1,382","1,401","1,268","1,243","1,207","1,230","1,140","1,144","1,165","1,129","1,141","1,144","1,108","1,111","1,197","1,241","1,300","1,392","1,022",959,"1,037",925,800,697,625,677,597,559,493,452,412,387,335,288,285,253,211,871
E14000534,Arundel and South Downs,"100,501",802,863,945,936,979,"1,112","1,117","1,164","1,173","1,102","1,174","1,151","1,131","1,149","1,138",983,"1,076","1,083","1,111",812,653,679,745,788,728,725,758,748,754,722,738,774,736,817,806,929,972,"1,027","1,066",997,944,"1,023","1,082","1,221","1,369","1,452","1,493","1,403","1,477","1,558","1,624","1,634","1,687","1,644","1,683","1,565","1,521","1,455","1,477","1,466","1,446","1,376","1,422","1,404","1,386","1,383","1,387","1,469","1,479","1,652","1,830","1,474","1,403","1,361","1,325","1,124",941,"1,067",987,975,850,828,761,664,615,574,574,504,445,399,"1,455"
E14000535,Ashfield,"106,495","1,213","1,219","1,197","1,258","1,301","1,347","1,396","1,300","1,295","1,222","1,254","1,210","1,159","1,133","1,145","1,099","1,156","1,164","1,242","1,070","1,096","1,144","1,089","1,231","1,192","1,280","1,390","1,361","1,376","1,390","1,376","1,373","1,286","1,200","1,266","1,217","1,304","1,277","1,220","1,153","1,135","1,208","1,222","1,289","1,398","1,513","1,547","1,563","1,604","1,583","1,619","1,615","1,664","1,599","1,686","1,483","1,517","1,502","1,472","1,300","1,289","1,244","1,273","1,238","1,253","1,233","1,214","1,273","1,244","1,365","1,374","1,079","1,132","1,145","1,102",873,792,793,749,689,684,573,529,444,445,393,363,292,269,205,824
E14000536,Ashford,"122,178","1,543","1,512","1,589","1,523","1,667","1,692","1,662","1,625","1,665","1,675","1,608","1,510","1,514","1,545","1,498","1,528","1,552","1,417","1,427","1,080","1,168","1,124","1,259","1,238","1,408","1,519","1,411","1,444","1,427","1,426","1,480","1,436","1,468","1,437","1,468","1,404","1,429","1,517","1,524","1,466","1,447","1,461","1,493","1,588","1,674","1,721","1,814","1,860","1,886","1,921","1,838","1,940","1,853","1,873","1,721","1,704","1,641","1,496","1,440","1,361","1,326","1,280","1,296","1,250","1,218","1,297","1,254","1,313","1,379","1,525","1,654","1,230","1,199","1,180","1,117",898,771,868,805,736,692,617,599,557,460,493,449,351,315,281,"1,151"
E14000537,Ashton-under-Lyne,"92,289","1,166","1,271","1,222","1,249","1,229","1,245","1,215","1,221","1,109","1,130","1,115","1,083","1,092","1,070",938,"1,017","1,047","1,046","1,099",932,"1,021","1,033","1,055","1,155","1,238","1,254","1,322","1,241","1,327","1,358","1,273","1,295","1,274","1,254","1,270","1,227","1,176","1,169","1,082",966,966,"1,051","1,046","1,108","1,171","1,262","1,331","1,335","1,355","1,347","1,391","1,388","1,408","1,402","1,328","1,324","1,326","1,196","1,168","1,138","1,085",976,938,918,952,917,945,954,908,"1,015","1,134",774,794,779,776,673,594,629,555,587,527,438,419,383,317,327,284,254,175,132,603
E14000538,Aylesbury,"121,812","1,660","1,739","1,729","1,691","1,790","1,798","1,752","1,732","1,666","1,661","1,571","1,476","1,424","1,421","1,322","1,308","1,324","1,401","1,424","1,034","1,123","1,229","1,284","1,341","1,388","1,476","1,692","1,616","1,777","1,773","1,743","1,797","1,847","1,713","1,807","1,774","1,903","1,908","1,849","1,731","1,697","1,658","1,684","1,787","1,737","1,686","1,813","1,822","1,756","1,802","1,830","1,807","1,787","1,807","1,667","1,537","1,522","1,544","1,296","1,407","1,222","1,121","1,165","1,139","1,130","1,120","1,093","1,041","1,167","1,092","1,255",841,919,913,819,779,642,662,631,596,599,562,538,460,442,399,345,290,297,238,955
E14000539,Banbury,"122,939","1,520","1,609","1,553","1,505","1,558","1,597","1,728","1,623","1,638","1,681","1,646","1,487","1,491","1,406","1,432","1,343","1,461","1,498","1,487","1,088","1,049","1,036","1,194","1,255","1,298","1,385","1,374","1,468","1,491","1,622","1,634","1,764","1,859","1,688","1,824","1,766","1,808","1,826","1,732","1,651","1,531","1,539","1,659","1,753","1,724","1,861","1,762","1,878","1,918","1,814","1,847","1,944","1,845","1,892","1,767","1,713","1,555","1,642","1,455","1,419","1,355","1,335","1,268","1,161","1,242","1,166","1,232","1,243","1,287","1,318","1,389","1,073","1,067","1,018","1,023",840,704,732,770,706,644,589,582,482,448,399,420,349,295,259,950
E14000540,Barking,"139,764","2,658","2,752","2,668","2,695","2,786","2,715","2,690","2,702","2,493","2,549","2,575","2,273","2,083","1,829","1,877","1,794","1,841","1,735","1,671","1,656","1,490","1,576","1,863","1,899","1,955","2,037","2,072","2,213","2,343","2,447","2,424","2,487","2,572","2,524","2,439","2,427","2,383","2,392","2,219","2,138","2,179","2,033","2,152","2,044","1,973","1,891","1,883","1,883","1,699","1,670","1,629","1,654","1,599","1,534","1,520","1,392","1,272","1,228","1,234","1,116","1,063",950,943,878,872,757,756,693,662,642,663,591,536,481,455,417,386,411,394,431,335,334,323,269,279,254,236,238,168,181,639
